구명,대여소번호,대여소 주소,groups,위도,경도
강동구,1047,서울특별시 강동구 천호대로175길 39건강보험 강동지사kt,220,37.536381,127.137253
강동구,1048,서울특별시 강동구 진황도로 172동부기업,63,37.531013,127.14236499999998
강동구,1049,서울특별시 강동구 고덕로97길 20강일동 10단지 아파트,197,37.56118,127.18026699999999
강동구,1050,서울특별시 강동구 양재대로 1355둔촌역 3번 출입구,406,37.526695000000004,127.135529
강동구,1051,서울특별시 강동구 고덕로 109양지시장 (용성약국앞) 입구,411,37.554829,127.137321
강동구,1052,서울특별시 강동구 동남로 930리싸이클시티,160,37.556469,127.15682199999999
강동구,1053,서울특별시 강동구 아리수로 324동명근린공원 진입로 (아리수로),149,37.562538,127.164528
강동구,1054,서울특별시 강동구 상일로21길 14-7말우물 어린이 공원,17,37.560009,127.169579
강동구,1056,서울특별시 강동구 아리수로98길 25강일리엔파크 7~11단지,197,37.563332,127.179092
강동구,1057,서울특별시 강동구 상일로12길 60능골근린공원,17,37.55579,127.173813
강동구,1058,서울특별시 강동구 고덕로80길 134고덕숲 아이파크,313,37.553471,127.165001
강동구,1059,서울특별시 강동구 천호대로 1077레미안 강동팰리스(102동),499,37.538181,127.131752
강동구,1060,서울특별시 강동구 구천면로 275천일초교 사거리,331,37.544659,127.13263700000002
강동구,1061,서울특별시 강동구 구천면로 304일주빌딩,331,37.546928,127.134621
강동구,1062,서울특별시 강동구 고덕로80길 134고덕숲 아이파크,313,37.551079,127.162621
강북구,1501,서울특별시 강북구 도봉로 196미아역 34번 출구 사이,450,37.62608,127.026482
강북구,1503,서울특별시 강북구 도봉로 355이다야 커피 수유점앞,23,37.639278000000004,127.026756
강북구,1504,서울특별시 강북구 삼양로 234다이소 삼양시장점,34,37.624157000000004,127.018623
강북구,1506,서울특별시 강북구 삼각산로 85강북문화예술회관,189,37.640327,127.01335900000001
강북구,1509,서울특별시 강북구 한천로 935번동 386-17,110,37.634377,127.035751
강북구,1510,서울특별시 강북구 오현로25마길 27번동 230,110,37.633717,127.03551499999999
강북구,1511,서울특별시 강북구 오현로31길 85-7번동 656-2,110,37.631122999999995,127.03603400000001
강북구,1512,서울특별시 강북구 한천로150길 67수유동 694-2,378,37.644737,127.02656599999999
강북구,1513,서울특별시 강북구 도봉로89길 13수유동 192-59,23,37.639671,127.0252
강북구,1514,서울특별시 강북구 한천로 1009강북구청 사거리 버스정류소,23,37.638805,127.02835800000001
강북구,1515,서울특별시 강북구 솔샘로 284송천동 주민센터,282,37.618286,127.024048
강북구,1516,서울특별시 강북구 삼양로99길 33우이초등학교 후문 옆,189,37.638706,127.01590700000001
강북구,1518,서울특별시 강북구 삼양로 439SK telecom(수유직영점),189,37.643085,127.016167
강북구,1519,서울특별시 강북구 삼양로 474수유동 317-3,189,37.645451,127.01561699999999
강북구,1520,서울특별시 강북구 노해로 50수유동 140,23,37.639862,127.02278899999999
강북구,1522,서울특별시 도봉구 삼양로 574우이동 100-13,71,37.654472,127.01275600000001
강북구,1525,서울특별시 강북구 솔매로49길 14미아동 195-1,450,37.627140000000004,127.02669499999999
강북구,1526,서울특별시 강북구 수유동 140수유동 채선당앞,23,37.641739,127.024628
강북구,1527,서울특별시 강북구 미아동 194-1미아역 1번 출구 뒤,450,37.627334999999995,127.026054
강북구,1528,서울특별시 미아동 813-8삼각산동 주민센터,282,37.615035999999996,127.020699
강북구,1529,서울특별시 미아동 194-1미아동 한국전력공사,450,37.630179999999996,127.02491
강북구,1530,서울특별시 강북구 노해로 87 광산사거리,23,37.643551,127.022346
강북구,1531,서울특별시 강북구 미아동 66-1미아사거리 1번 출구,22,37.613956,127.030251
강북구,1532,서울특별시 강북구 번동 2-2번3동 주민센터 교차로,270,37.626354,127.04744699999999
강북구,1533,서울특별시 강북구 번동 254번동 주공3 4단지 교차로,430,37.629917,127.040916
강북구,1534,서울특별시 강북구 번동 105북서울 꿈의 숲 동문,391,37.619637,127.044533
강북구,1535,서울특별시 수유동 230-7효성인텔리안 앞,23,37.636292,127.023376
강북구,1536,서울특별시 번동 386-17번동 두산위브 101동 옆,110,37.636261,127.032173
강북구,1537,서울특별시 강북구 삼양로 670북한산 우이역,327,37.663666,127.012428
강북구,1538,서울특별시 강북구 삼양로 595솔밭공원역,71,37.656158000000005,127.01313799999998
강북구,1539,서울특별시 강북구 삼양로 5194.19민주묘지역,71,37.649673,127.013451
강북구,1540,서울특별시 강북구 삼양로 426가오리역,189,37.64167,127.016884
강북구,1541,서울특별시 강북구 삼양로 263삼양역,34,37.626529999999995,127.01805900000001
강북구,1542,서울특별시 강북구 삼양로 197삼양사거리역,34,37.621552,127.02037
강북구,1543,서울특별시 강북구 삼양로 299수유1동 주민센터,34,37.630188000000004,127.017738
강북구,1545,서울특별시 강북구 솔샘로 195솔샘역 2번 출구,441,37.62038,127.01368000000001
강북구,1546,서울특별시 강북구 도봉로 71송천동우체국,22,37.615459,127.029701
강서구,1101,서울특별시 강서구 개화동로5길 3-8강서구 개화동 424-2,470,37.581612,126.798599
강서구,1102,서울특별시 강서구 양천로17길 6강서구 방화동 769-23,276,37.573643,126.811806
강서구,1103,서울특별시 강서구 금낭화로 135강서구 방화동 829-8,276,37.577221,126.81219499999999
강서구,1105,서울특별시 강서구 금낭화로 176강서구 방화동 855,466,37.581623,126.812653
강서구,1106,서울특별시 강서구 방화대로 342신방화 사거리,276,37.573032,126.816452
강서구,1108,서울특별시 강서구 방화동로 지하 30강서구 방화동 612-249,283,37.563559999999995,126.81015
강서구,1109,서울특별시 강서구 방화동로 지하 30강서구 공항동 산20-2,283,37.563347,126.81048600000001
강서구,1110,서울특별시 강서구 방화대로 241공항중학교 앞,348,37.562683,126.81623799999998
강서구,1111,서울특별시 강서구 마곡중앙5로 58강서구 마곡동 743-3,203,37.566982,126.8218
강서구,1112,서울특별시 강서구 마곡서로 175강서구 마곡동 754-6,203,37.568577000000005,126.824776
강서구,1113,서울특별시 강서구 양천로 201강서구 마곡동 222-30,359,37.573093,126.82289899999999
강서구,1114,서울특별시 강서구 양천로 200강서구 마곡동 223-6,359,37.572781,126.826279
강서구,1115,서울특별시 강서구 공항대로59길 8강서구 등촌동 666-90,78,37.551666,126.86408999999999
강서구,1117,서울특별시 강서구 공항대로 329강서구 등촌동 675-7,90,37.558197,126.84426100000002
강서구,1118,서울특별시 강서구 양천로 지하 560강서구 등촌동 666-40,87,37.557460999999996,126.86145800000001
강서구,1119,서울특별시 강서구 양천로 637강서구 염창동 284-18,78,37.554253,126.86756100000001
강서구,1120,서울특별시 강서구 허준로 121강서구 가양동 1475-2,121,37.565189000000004,126.853996
강서구,1121,서울특별시 강서구 양천로61길 101강서구 가양동 1484-5,87,37.559478999999996,126.86438000000001
강서구,1122,서울특별시 강서구 허준로 221-40강서구 가양동 1485-5,87,37.561932,126.863869
강서구,1124,서울특별시 강서구 공항대로 280강서구 내발산동 645-1,48,37.557968,126.83828700000001
강서구,1125,서울특별시 강서구 강서로 304강서구 내발산동 724-42,264,37.552914,126.83657099999999
